name,description,implementation status,effect_level,version
ArcTanDegrees,,,,14.1
ArcTanh,Returns the inverse hyperbolic tangent,✅,pure,1
Area,,,,10
Arg,Returns the argument (phase angle) of a complex number,✅,pure,1
ArgMax,,,,7
ArgMin,,,,7
ArgumentsOptions,,,,12.2
ARIMAProcess,,,,9
ArithmeticGeometricMean,,,,1
ARMAProcess,,,,9
Around,,,,12
AroundReplace,,,,12
ARProcess,,,,9
ARPublish,,,,13.3
Array,Generates a list by applying a function to successive indices,✅,pure,1
ArrayComponents,,,,8
ArrayDepth,Returns the depth of a nested array,✅,pure,5
ArrayDot,,,,14.1
ArrayFilter,,,,10.2
ArrayFlatten,,,,6
ArrayMesh,,,,10.4
ArrayPad,,,,7
ArrayPlot,Plots a matrix as a grid of colored cells,✅,pure,5.1
ArrayPlot3D,,,,12.2
ArrayQ,Tests if an expression is a full array,✅,pure,5
ArrayReduce,,,,12.2
ArrayResample,,,,10
ArrayReshape,,,,9
ArrayRules,,,,5
Arrays,,,,9
ArraySymbol,,,,14.1
Arrow,Represents an arrow graphics primitive,✅,pure,6
Arrowheads,Specifies arrowhead sizes and styles,✅,pure,6
ASATriangle,,,,10
Ask,,,,10.4
AskAppend,,,,10.4
AskConfirm,,,,10.4
AskDisplay,,,,10.4
AskedQ,,,,10.4
AskedValue,,,,10.4
AskFunction,,,,10.4
AskState,,,,11.1
AskTemplateDisplay,,,,10.4
AspectRatio,,,,1
Assert,,,,8
AssessmentFunction,,,,12.2
AssessmentResultObject,,,,12.2
AssociateTo,,,,10
Association,,,,10
AssociationFormat,,,,10
AssociationMap,Maps a function over an association,✅,pure,10
AssociationQ,Tests if an expression is an association,✅,pure,10.1
AssociationThread,Creates an association from lists of keys and values,✅,pure,10
AssumeDeterministic,,,,11
Assuming,,,,5
Assumptions,,,,3
AstroAngularSeparation,,,,13.2
AstroBackground,,,,13.2
AstroCenter,,,,13.2
AstroDistance,,,,13.2
AstroGraphics,,,,13.2
AstroGridLines,,,,13.2
AstroGridLinesStyle,,,,13.2
AstroPosition,,,,13.2
AstroProjection,,,,13.2
AstroRange,,,,13.2
AstroRangePadding,,,,13.2
AstroReferenceFrame,,,,13.2
AstroRiseSet,,,,14.1
AstroStyling,,,,13.2
AstroSubpoint,,,,14
AstroZoomLevel,,,,13.2
Asymptotic,,,,12.1
AsymptoticDSolveValue,,,,11.3
AsymptoticEqual,,,,11.3
AsymptoticEquivalent,,,,11.3
AsymptoticExpectation,,,,12.2
AsymptoticGreater,,,,11.3
AsymptoticGreaterEqual,,,,11.3
AsymptoticIntegrate,,,,11.3
AsymptoticLess,,,,11.3
AsymptoticLessEqual,,,,11.3
AsymptoticOutputTracker,,,,10
AsymptoticProbability,,,,12.2
AsymptoticProduct,,,,12.1
AsymptoticRSolveValue,,,,12
AsymptoticSolve,,,,12
AsymptoticSum,,,,12
Asynchronous,,,,8
Atom,,,,12
AtomCoordinates,,,,12
AtomCount,,,,12
AtomDiagramCoordinates,,,,12
AtomLabels,,,,13
